22:48.2,51,25.8,90,1,0
22:52.7,51,25.8,100,1,0
22:57.3,51,25.9,100,1,0
23:01.8,51,25.9,43,1,1
23:06.3,51,25.9,100,1,0
23:10.8,51,25.8,100,1,0
23:15.4,51,25.9,100,1,0
23:19.9,51,25.9,100,1,0
23:24.4,51,25.8,100,1,0
23:28.9,52,26,100,1,0
23:33.4,52,26,85,1,0
23:38.0,52,26,85,1,0
23:42.5,51,26,100,1,0
23:47.0,51,26,100,1,0
23:51.5,51,26,85,1,0
23:56.1,51,26.1,100,1,0
24:00.6,51,26,99,1,0
24:05.1,50,26,99,1,0
24:09.6,49,26.1,100,1,0
24:14.2,49,26.1,100,1,0
24:18.7,49,26,95,1,0
24:23.2,49,26.1,92,1,0
24:27.7,49,26.1,88,1,0
24:32.3,49,26.1,79,87,0
24:36.8,49,26.2,79,100,0
24:41.3,49,26.2,82,100,0
24:45.8,49,26.2,98,57,0
24:50.4,49,26.2,79,79,0
24:54.9,48,26.3,72,78,0
24:59.4,49,26.4,74,77,0
25:03.9,49,26.4,85,77,0
25:08.5,49,26.4,76,77,0
25:13.0,49,26.4,71,76,0
25:17.5,49,26.5,73,76,0
25:22.0,49,26.5,79,77,0
25:26.6,49,26.5,86,77,0
25:31.1,49,26.5,75,77,0
25:35.6,49,26.5,71,77,0
25:40.1,49,26.6,82,77,0
25:44.6,50,26.5,32,77,0
25:49.2,50,26.5,27,77,0
25:53.7,49,26.5,20,77,0
25:58.2,49,26.5,24,77,0
26:02.7,49,26.6,29,77,0
26:07.3,48,26.5,27,77,0
26:11.8,48,26.5,15,78,0
26:16.3,48,26.6,13,78,0
26:20.8,48,26.6,29,78,0
26:25.4,48,26.6,33,78,0
26:29.9,48,26.5,29,78,0
26:34.4,48,26.5,21,78,0
26:38.9,49,26.6,18,78,0
26:43.5,49,26.5,20,78,0
26:48.0,51,26.6,25,78,0
26:52.5,52,26.6,31,78,0
26:57.0,52,26.5,18,78,0
27:01.6,52,26.5,28,86,0
27:06.1,52,26.6,8,82,0
27:10.6,52,26.7,0,81,0
27:15.1,52,26.7,0,80,0
27:19.7,51,26.5,14,80,0
27:24.2,51,26.6,14,80,0
27:28.7,51,26.5,16,80,0
27:33.2,51,26.6,15,80,0
27:37.8,50,26.5,15,80,0
27:42.3,52,26.6,15,80,0
27:46.8,51,26.5,15,80,0
27:51.3,51,26.6,14,80,0
27:55.9,52,26.6,15,31,1
28:00.4,52,26.5,16,73,0
28:04.9,52,26.5,15,73,0
28:09.4,51,26.6,15,5,1
28:14.0,51,26.5,14,84,0
28:18.5,50,26.5,14,84,0
28:23.0,50,26.5,14,84,0
28:27.5,50,26.5,17,53,0
28:32.1,50,26.6,12,52,0
28:36.6,51,26.5,12,52,0
28:41.1,64,26.5,10,52,0
28:45.6,61,26.7,10,1,1
28:50.2,57,26.8,10,1,1
28:54.7,54,26.9,10,23,1
28:59.2,52,27,10,27,1
29:03.7,51,27.2,10,27,1
29:08.3,50,27.2,10,1,1
29:12.8,49,27.2,11,24,0
29:17.3,49,27.3,10,28,0
29:21.8,48,27.3,10,28,0
29:26.4,49,27.5,11,12,0
29:30.9,49,27.5,10,7,0
29:35.4,52,27.5,11,21,1
29:39.9,51,27.5,10,11,1
29:44.5,50,27.6,11,11,1
29:49.0,49,27.6,10,11,0
29:53.5,48,27.7,11,11,0
29:58.0,47,27.7,10,11,0
30:02.5,47,27.6,11,2,0
30:07.1,47,27.7,10,40,0
30:11.6,47,27.7,10,1,0
30:16.1,48,27.7,10,68,0
30:20.6,48,27.7,10,68,0
30:25.2,48,27.7,18,68,0
30:29.7,49,27.7,38,68,0
30:34.2,49,27.7,39,52,0
30:38.7,49,27.8,49,87,0
30:43.3,48,27.8,49,53,0
30:47.8,48,27.8,35,51,0
30:52.3,48,27.7,60,50,0
30:56.8,47,27.8,52,50,0
31:01.4,47,27.7,39,50,0
31:05.9,49,27.7,33,49,0
31:10.4,52,27.8,34,47,1
31:14.9,54,27.7,35,60,0
31:19.5,56,27.8,36,57,0
31:24.0,56,27.8,40,56,0
31:28.5,56,27.8,51,35,1
31:33.0,55,27.8,50,46,1
31:37.6,57,27.8,29,3,1
31:42.1,56,27.8,36,54,0
31:46.6,57,27.8,52,53,0
31:51.1,58,27.8,51,53,0
31:55.7,58,27.8,46,52,0
32:00.2,57,27.8,43,55,0
32:04.7,55,27.8,30,67,0
32:09.2,54,27.8,79,65,0
32:13.8,52,27.7,90,65,0
32:18.3,51,27.7,93,47,0
32:22.8,50,27.8,91,63,0
32:27.3,51,27.7,88,63,0
32:31.9,52,27.7,80,63,0
32:36.4,50,27.7,73,62,0
32:40.9,50,27.7,73,62,0
32:45.4,50,27.7,76,5,0
32:50.0,50,27.7,72,57,0
32:54.5,53,27.7,73,56,0
32:59.0,61,27.7,76,56,0
33:03.5,57,27.7,92,55,0
33:08.1,53,27.7,38,55,0
33:12.6,51,27.7,25,55,0
33:17.1,50,27.7,43,66,0
33:21.6,49,27.7,21,73,0
33:26.2,49,27.6,27,72,0
33:30.7,49,27.6,44,52,0
33:35.2,49,27.6,21,49,0
33:39.7,50,27.6,26,61,0
33:44.3,50,27.6,44,68,0
33:48.8,49,27.6,60,68,0
33:53.3,49,27.6,21,68,0
33:57.8,49,27.5,33,68,0
34:02.4,49,27.5,39,67,0
34:06.9,49,27.5,6,67,0
34:11.4,49,27.5,6,67,0
34:15.9,49,27.5,7,48,0
34:20.4,49,27.5,6,47,0
34:25.0,49,27.3,7,1,0
34:29.5,49,27.3,6,51,0
34:34.0,49,27.4,6,51,0
34:38.5,49,27.3,7,1,0
34:43.1,49,27.3,6,84,0
34:47.6,50,27.3,6,82,0
34:52.1,50,27.3,6,81,0
34:56.6,49,27.4,6,81,0
35:01.2,51,27.3,6,4,1
35:05.7,51,27.3,6,57,0
35:10.2,50,27.2,7,55,0
35:14.7,49,27.3,6,1,0
35:19.3,49,27.2,6,57,0
35:23.8,49,27.2,7,57,0
35:28.3,49,27.2,7,56,0
35:32.8,49,27.2,6,56,0
35:37.4,49,27.2,6,56,0
35:41.9,50,27.2,6,57,0
35:46.4,50,27.2,6,57,0
35:50.9,50,27.2,6,57,0
35:55.5,50,27.2,56,56,0
36:00.0,50,27.2,98,56,0
36:04.5,50,27.1,79,1,0
36:09.0,50,27.1,74,1,0
36:13.6,50,27.1,73,29,0
36:18.1,49,27.1,84,31,0
36:22.6,49,27.1,96,31,0
36:27.1,49,27.1,99,31,0
36:31.7,49,27.1,100,31,0
36:36.2,49,27.1,95,7,0
36:40.7,51,27.1,100,5,0
36:45.2,51,27.1,83,6,0
36:49.8,51,27.1,78,6,0
36:54.3,50,27,85,6,0
36:58.8,51,27,100,6,0
37:03.3,50,27,94,6,0
37:07.9,51,27,89,6,0
37:12.4,51,27,92,42,0
37:16.9,50,27,87,40,0
37:21.4,51,27.1,76,30,0
37:26.0,52,27,78,27,0
37:30.5,52,27,85,1,0
37:35.0,52,27,91,3,0
37:39.5,51,27,77,2,0
37:44.1,51,27,92,1,0
37:48.6,52,27.1,90,20,0
37:53.1,51,27.1,75,21,0
37:57.6,52,27.1,97,19,0
38:02.2,56,27.1,91,19,0
38:06.7,57,27.1,83,19,0
38:11.2,54,27.1,78,19,0
38:15.7,52,27.1,75,20,0
38:20.3,52,27.1,71,19,0
38:24.8,51,27.1,82,19,0
38:29.3,50,27.1,100,20,0
38:33.8,50,27.1,79,19,0
38:38.3,50,27,81,19,0
38:42.9,49,27.1,66,19,0
38:47.4,50,27,66,1,0
38:51.9,51,27,65,27,0
